Date,Close,MA_7,MA_30,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2025-02-02,482.0,485.7857142857143,476.8,9.22,3.37875,22346.498,0.0,0.0
2025-02-03,488.75,486.75,478.06666666666666,6.02,4.0662494,10183.486,0.0,0.0
2025-02-04,494.5,488.07142857142856,479.525,11.41,-5.93375,32400.145,0.0,0.0
2025-02-05,493.25,487.5357142857143,480.7083333333333,2.7,-5.6420836,0.0,0.6,6.0
2025-02-06,495.25,488.25,481.95,12.5,-0.94000006,32400.0,0.4,4.0
2025-02-07,487.5,489.0357142857143,483.06666666666666,11.07,-2.3295834,32593.662,0.0,0.0
2025-02-08,487.5,489.82142857142856,484.1166666666667,7.39,-0.55250007,10927.196,0.2,2.0
2025-02-09,487.5,490.60714285714283,484.68333333333334,10.97,-7.650417,32038.91,0.0,0.0
2025-02-10,491.5,491.0,485.3833333333333,11.33,-4.692083,31715.426,0.0,0.0
2025-02-11,484.0,489.5,485.8333333333333,10.62,-8.487917,25203.87,0.5,5.0
2025-02-12,490.25,489.07142857142856,486.2916666666667,7.59,-12.248334,0.0,9.099999,23.0
2025-02-13,493.5,488.82142857142856,486.925,15.11,-17.269167,33150.844,0.5,4.0
2025-02-14,496.25,490.07142857142856,487.5083333333333,7.88,-10.78375,4315.9478,2.2999997,3.0
2025-02-15,496.25,491.32142857142856,488.23333333333335,8.87,-4.4608335,4780.1035,1.0,8.0
2025-02-16,496.25,492.57142857142856,488.6333333333333,15.0,-11.906666,33108.836,0.1,1.0
2025-02-17,496.25,493.25,489.03333333333336,12.2,-18.048334,16646.648,0.4,4.0
2025-02-18,502.0,495.82142857142856,489.625,13.92,-22.00042,25821.428,0.2,2.0
2025-02-19,497.5,496.85714285714283,490.06666666666666,14.46,-18.344168,30487.582,0.0,0.0
2025-02-20,498.0,497.5,490.3333333333333,15.97,-18.604586,35669.188,0.0,0.0
2025-02-21,491.25,496.7857142857143,490.56666666666666,16.46,-16.32125,35840.28,0.0,0.0
2025-02-22,491.25,496.07142857142856,490.6166666666667,15.83,-8.933749,36012.3,0.0,0.0
2025-02-23,491.25,495.35714285714283,490.775,15.49,-0.74625015,35852.023,0.0,0.0
2025-02-24,482.5,493.39285714285717,490.64166666666665,11.17,6.4641666,23751.75,0.2,1.0
2025-02-25,479.75,490.2142857142857,490.4166666666667,15.14,6.339167,34634.91,0.0,0.0
2025-02-26,478.25,487.4642857142857,490.2916666666667,13.13,7.032917,30881.697,0.1,1.0
2025-02-27,464.75,482.7142857142857,489.60833333333335,15.99,5.626667,36881.117,0.0,0.0
2025-02-28,453.5,477.32142857142856,488.15833333333336,15.61,7.609999,37055.62,0.0,0.0
2025-03-01,453.5,471.92857142857144,486.93333333333334,15.21,-1.7400001,34601.934,0.0,0.0
2025-03-02,453.5,466.5357142857143,485.98333333333335,16.43,-1.7670832,37404.258,0.0,0.0
2025-03-03,440.25,460.5,484.59166666666664,15.01,5.4600005,33914.934,0.0,0.0
2025-03-04,436.0,454.25,483.05833333333334,3.8,10.59125,0.0,10.9,10.0
2025-03-05,440.25,448.82142857142856,481.44166666666666,10.66,-0.002500077,7367.671,26.800001,19.0
2025-03-06,449.5,446.64285714285717,479.94166666666666,16.7,-2.5358334,37557.76,0.0,0.0
2025-03-07,455.25,446.89285714285717,478.675,8.47,0.8475,5789.5635,7.600001,19.0
2025-03-08,455.25,447.14285714285717,477.34166666666664,18.7,0.10374997,35721.89,0.0,0.0
2025-03-09,455.25,447.39285714285717,476.26666666666665,17.65,4.8058333,38609.523,0.0,0.0
2025-03-10,458.75,450.0357142857143,475.30833333333334,18.25,9.064166,38781.36,0.0,0.0
2025-03-11,456.5,452.9642857142857,474.275,18.07,8.555834,38929.953,0.0,0.0
2025-03-12,448.75,454.17857142857144,472.85,18.41,7.337084,39000.438,0.0,0.0
2025-03-13,453.5,454.75,471.8333333333333,18.59,10.430833,39070.6,0.0,0.0
2025-03-14,445.5,453.35714285714283,470.34166666666664,16.13,16.530832,35540.43,2.6,2.0
2025-03-15,445.5,451.9642857142857,468.7416666666667,11.93,7.8829174,19066.072,0.6,2.0
2025-03-16,445.5,450.57142857142856,467.05,19.83,0.67875004,37485.582,0.3,1.0
2025-03-17,461.0,450.89285714285717,465.875,19.49,8.0225,39384.125,0.0,0.0
