Date,Close,MA_7,MA_30,MA_90,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2000-08-21,176.25,177.35714285714286,177.6547619047619,177.6547619047619,20.75,22.755,39663.797,0.0,0.0
2000-08-22,175.5,177.32142857142858,177.5568181818182,177.5568181818182,17.84,24.311247,43985.383,1.6,2.0
2000-08-23,175.25,176.85714285714286,177.45652173913044,177.45652173913044,12.41,23.177917,25345.652,1.6,4.0
2000-08-24,176.0,176.5,177.39583333333334,177.39583333333334,21.97,22.921667,38879.7,0.0,0.0
2000-08-25,176.5,176.35714285714286,177.36,177.36,23.49,24.546667,45101.805,0.0,0.0
2000-08-26,176.5,176.21428571428572,177.32692307692307,177.32692307692307,19.4,25.363333,39553.348,1.8000002,6.0
2000-08-27,176.5,176.07142857142858,177.2962962962963,177.2962962962963,15.15,23.502916,38230.348,0.0,0.0
2000-08-28,179.5,176.53571428571428,177.375,177.375,21.43,25.940416,39357.547,0.0,0.0
2000-08-29,184.25,177.78571428571428,177.61206896551724,177.61206896551724,18.91,24.177916,41394.53,0.0,0.0
2000-08-30,181.5,178.67857142857142,177.74166666666667,177.74166666666667,19.69,24.875834,38016.234,0.0,0.0
2000-08-31,182.0,179.53571428571428,177.81666666666666,177.8790322580645,20.08,28.92792,43776.75,0.0,0.0
2000-09-01,183.25,180.5,177.90833333333333,178.046875,19.43,25.292501,42774.89,0.0,0.0
2000-09-02,183.25,181.46428571428572,178.01666666666668,178.20454545454547,21.69,26.463333,43303.082,0.0,0.0
2000-09-03,183.25,182.42857142857142,178.16666666666666,178.35294117647058,21.82,27.665419,41659.883,0.7,3.0
2000-09-04,183.25,182.96428571428572,178.31666666666666,178.49285714285713,16.23,22.150833,41771.125,0.0,0.0
2000-09-05,183.5,182.85714285714286,178.475,178.63194444444446,22.76,18.000834,42651.28,0.0,0.0
2000-09-06,186.25,183.53571428571428,178.75833333333333,178.83783783783784,22.85,18.575834,42730.914,0.0,0.0
2000-09-07,181.0,183.39285714285714,178.80833333333334,178.89473684210526,16.89,21.730003,37778.316,0.0,0.0
2000-09-08,181.75,183.17857142857142,178.925,178.96794871794873,21.35,22.644583,40885.297,0.0,0.0
2000-09-09,181.75,182.96428571428572,179.075,179.0375,21.19,25.805002,42240.844,0.0,0.0
2000-09-10,181.75,182.75,179.30833333333334,179.10365853658536,20.46,26.673746,42180.312,0.0,0.0
2000-09-11,184.25,182.89285714285714,179.625,179.22619047619048,19.85,28.636248,42119.645,1.2,2.0
2000-09-12,186.0,183.25,180.0,179.38372093023256,21.96,19.38625,42058.836,0.0,0.0
2000-09-13,182.5,182.71428571428572,180.225,179.45454545454547,21.17,21.527916,41997.883,0.0,0.0
2000-09-14,181.0,182.71428571428572,180.4,179.48888888888888,19.95,21.290415,41931.133,6.3999996,4.0
2000-09-15,181.0,182.60714285714286,180.48333333333332,179.52173913043478,21.09,15.646665,41768.293,0.0,0.0
2000-09-16,181.0,182.5,180.56666666666666,179.5531914893617,20.89,15.955001,41604.95,0.0,0.0
2000-09-17,181.0,182.39285714285714,180.68333333333334,179.58333333333334,20.37,21.371666,41440.414,0.0,0.0
2000-09-18,184.0,182.35714285714286,180.9,179.6734693877551,16.99,24.509165,35708.027,0.0,0.0
2000-09-19,185.0,182.21428571428572,181.15,179.78,7.87,24.219582,8161.31,3.2,7.0
2000-09-20,183.5,182.35714285714286,181.39166666666668,179.85294117647058,14.64,16.28625,26901.316,3.3,9.0
2000-09-21,183.75,182.75,181.66666666666666,179.9278846153846,17.97,12.357083,40755.367,0.0,0.0
2000-09-22,186.25,183.5,182.03333333333333,180.04716981132074,7.2,13.844584,17163.51,32.2,9.0
2000-09-23,186.25,184.25,182.375,180.16203703703704,7.86,13.275833,11698.3,0.6,3.0
2000-09-24,186.25,185.0,182.7,180.27272727272728,3.46,10.227916,0.0,0.2,1.0
2000-09-25,186.25,185.32142857142858,183.025,180.37946428571428,19.59,10.346665,38200.875,0.5,2.0
2000-09-26,190.0,186.03571428571428,183.475,180.5482456140351,19.38,12.740415,39923.17,0.0,0.0
2000-09-27,190.5,187.03571428571428,183.84166666666667,180.7198275862069,18.85,15.313333,39752.395,0.0,0.0
